1,2,3,4,5,6,7,8,9,10,11,Male,Female,Age,Crete,Cyprus,Peloponnese,Central Greece,Thessaly,Epirus,Macedonia,Thrace,Pontos,Dodekanisa,Cyclades,Sporades,Ionnian,North_Agean,Other,Place_extra,Elementary,High School,Senior School,IEK,AEI-TEI,Post-grad_PhD,Music relation (Y),Music relation (N),Music rel (extra),Classic,Jazz/Blues,Pop,Rock_Metal,Electronical,Greek Music,Rap_Hip-Hop
nostalgia,sorrow,nostalgia,boredom,annoyance,boredom,nostalgia,sorrow,annoyance,sorrow,surprise,1,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,1,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
nostalgia,nostalgia,nostalgia,nostalgia,surprise,sorrow,joy,boredom,boredom,joy,joy,0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
sorrow,nostalgia,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
boredom,nostalgia,annoyance,annoyance,annoyance,annoyance,annoyance,anticipation,annoyance,annoyance,annoyance,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
joy,nostalgia,sorrow,joy,anticipation,nostalgia,surprise,anticipation,boredom,nostalgia,annoyance,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
nostalgia,nostalgia,boredom,boredom,boredom,boredom,boredom,boredom,boredom,boredom,boredom,1,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
annoyance,nostalgia,sorrow,annoyance,rage,surprise,joy,nostalgia,joy,annoyance,nostalgia,0,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
nostalgia,boredom,boredom,annoyance,annoyance,sorrow,anticipation,boredom,annoyance,annoyance,annoyance,0,1,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
rage,nostalgia,sorrow,nostalgia,annoyance,sorrow,boredom,sorrow,rage,rage,rage,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
sorrow,nostalgia,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,annoyance,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
anticipation,nostalgia,sorrow,boredom,boredom,sorrow,boredom,boredom,boredom,boredom,boredom,1,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
boredom,sorrow,nostalgia,boredom,boredom,sorrow,boredom,boredom,boredom,nostalgia,boredom,0,1,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
nostalgia,nostalgia,sorrow,nostalgia,anticipation,nostalgia,anticipation,anticipation,boredom,anticipation,boredom,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
boredom,nostalgia,sorrow,anticipation,rage,annoyance,annoyance,nostalgia,surprise,rage,annoyance,0,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
boredom,nostalgia,boredom,nostalgia,boredom,boredom,boredom,nostalgia,boredom,boredom,boredom,1,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
nostalgia,boredom,boredom,boredom,boredom,nostalgia,nostalgia,nostalgia,joy,boredom,boredom,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
nostalgia,nostalgia,sorrow,sorrow,sorrow,sorrow,boredom,boredom,boredom,nostalgia,boredom,1,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
nostalgia,nostalgia,sorrow,boredom,surprise,sorrow,boredom,boredom,joy,sorrow,boredom,1,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
